报告期,方案,股权登记日,除权除息日,派息日
2024年报,10派6.20元(董事会预案),,,
2023年报,10派4.0元(实施方案),2024-07-25,2024-07-26,
2022年报,10派3.5元(实施方案),2023-07-27,2023-07-28,
2021年报,10派3.5元(实施方案),2022-07-27,2022-07-28,
2020年报,10派3元(实施方案),2021-07-14,2021-07-15,
2019年报,10派2.6元(实施方案),2020-07-29,2020-07-30,
2018年报,10派1.5元(实施方案),2019-07-25,2019-07-26,
2017年报,10派2.3元(实施方案),2018-08-08,2018-08-09,
2016年报,10派2元(实施方案),2017-07-27,2017-07-28,
2015年报,10派2元(实施方案),2016-07-07,2016-07-08,
2014年报,10送3股派0.40元(实施方案),2015-07-20,2015-07-21,
2013年报,10派1.70元(实施方案),2014-07-18,2014-07-21,
2012年报,10派1.6元(实施方案),2013-07-12,2013-07-15,
2011年报,10派1.1元(实施方案),2012-06-18,2012-06-19,
2010年报,10送4股转6股派0.5元(实施方案),2011-05-19,2011-05-20,
2009年报,10派3元(实施方案),2010-07-01,2010-07-02,
2008年报,10送4转4股派1元(实施方案),2009-06-11,2009-06-12,
2007年报,10送5股派3元(实施方案),2008-06-03,2008-06-04,
2006年报,10送2股派3元(实施方案),2007-05-30,2007-05-31,
2005年报,10派6.5元(实施方案),2006-07-12,2006-07-13,
