A股股东人数,B股股东人数,变动比率,股东人数,H股股东人数,户均持股金额,户均流通股,户均持股变动比率,股价,报告日期,十大流通股东持股合计,十大股东持股合计
18584,,-17.04,18584,,2480142.92057684,32633.459481274214,20.65,76.0,2025-03-31,37.7638,59.69
22402,,2.4,22402,,1966443.967605571,27048.747835014732,-2.15,72.7,2024-12-31,35.0559,57.01
21877,,-3.93,21877,,2042730.639402112,27641.821913425058,4.45,73.9,2024-09-30,31.9226,53.95
22772,,24.91,22772,,1770437.202085895,26463.934261373615,-19.92,66.9,2024-06-30,31.5692,53.64
18230,,7.86,18230,,1960113.1642206365,33048.50032912781,-7.27,59.3102,2024-03-31,29.6645,51.72
16901,,0.22,16901,,1844070.1314066325,35638.681793976684,0.0,51.7435,2023-12-31,26.6492,48.72
16864,,-15.19,16864,,1831352.5449882352,35639.41152751423,18.51,51.3856,2023-09-30,26.862199999999998,48.92
19884,,-0.09,19884,,1397014.4817057333,30073.201367934016,0.13,46.4538,2023-06-30,26.208299999999998,48.4
19901,,-12.5,19901,,1356235.2859049798,30033.44485201749,14.33,45.1575,2023-03-31,26.2133,48.4
22743,,2.52,22743,,991692.1856915447,26270.130853449413,-2.38,37.7498,2022-12-31,24.8201,47.019999999999996
22185,,-22.52,22185,,1015911.669562443,26911.709984223573,29.81,37.7498,2022-09-30,23.9428,46.08
28633,,2.93,28633,,730184.5951998323,20731.33573149862,-2.79,35.2213,2022-06-30,24.299,46.61
27817,,-5.95,27817,,687073.9393746522,21325.977316029766,6.32,32.2177,2022-03-31,26.2015,48.5
29576,,-1.64,29576,,969514.0289687719,20057.638321612118,1.7,48.3364,2021-12-31,23.3793,45.67
30068,,-16.94,30068,,766349.2525956066,19721.94063456166,20.91,38.8577,2021-09-30,22.7806,45.1
36201,,-9.3,36201,,493316.9730852021,16311.55799563548,10.35,30.2434,2021-06-30,26.0081,48.3964
39914,,-33.54,39914,,428300.12745821517,14781.610738086887,50.49,28.9752,2021-03-31,25.8409,48.23
60053,,11.26,60053,,192168.72679521257,9822.61853695902,-10.15,19.5639,2020-12-31,24.2484,46.64
53973,,6.29,53973,,253754.60023236435,10932.326366887148,-5.63,23.2114,2020-09-30,24.7342,47.14
50778,,-3.29,50778,,231165.0984510615,11584.900192996967,3.58,19.954,2020-06-30,21.7715,44.23
52503,,,52503,,221091.5786503476,11184.769651258024,,19.7672,2020-04-20,,
